MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2334,,,,,G4,20368,G4,262NV,2334,14457,1445702,34457,RAP,10466,1046602,30466,AZA,1924,2037.0,73.0,73.0,1.0,4.0,1900-1959,8.0,2045.0,2235.0,6.0,2156,2241.0,45.0,45.0,1.0,3.0,2100-2159,0.0,,0.0,N,152.0,124.0,110.0,1.0,873.0,4,22.0,0.0,0.0,0.0,23.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2478,,,,,G4,20368,G4,271NV,2478,14082,1408203,34082,PGD,15412,1541206,35412,TYS,850,841.0,-9.0,0.0,0.0,-1.0,0800-0859,15.0,856.0,1028.0,5.0,1038,1033.0,-5.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,N,108.0,112.0,92.0,1.0,624.0,3,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,267,,,,,G4,20368,G4,296NV,267,10431,1043106,30431,AVL,14761,1476107,34761,SFB,800,759.0,-1.0,0.0,0.0,-1.0,0800-0859,11.0,810.0,915.0,7.0,933,922.0,-11.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,N,93.0,83.0,65.0,1.0,465.0,2,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2700,,,,,G4,20368,G4,204NV,2700,11537,1153706,31537,ELM,14112,1411206,33195,PIE,1328,1341.0,13.0,13.0,0.0,0.0,1300-1359,9.0,1350.0,1611.0,7.0,1625,1618.0,-7.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,N,177.0,157.0,141.0,1.0,1035.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2701,,,,,G4,20368,G4,204NV,2701,14112,1411206,33195,PIE,11537,1153706,31537,ELM,1010,956.0,-14.0,0.0,0.0,-1.0,1000-1059,16.0,1012.0,1222.0,5.0,1243,1227.0,-16.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,N,153.0,151.0,130.0,1.0,1035.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,271,,,,,G4,20368,G4,326NV,271,10666,1066602,30666,BLI,12889,1288904,32211,LAS,1200,1151.0,-9.0,0.0,0.0,-1.0,1200-1259,23.0,1214.0,1423.0,6.0,1430,1429.0,-1.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,N,150.0,158.0,129.0,1.0,954.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,282,,,,,G4,20368,G4,326NV,282,12889,1288904,32211,LAS,10666,1066602,30666,BLI,1515,1522.0,7.0,7.0,0.0,0.0,1500-1559,14.0,1536.0,1751.0,5.0,1806,1756.0,-10.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,N,171.0,154.0,135.0,1.0,954.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2834,,,,,G4,20368,G4,222NV,2834,14696,1469608,34696,SBN,14761,1476107,34761,SFB,1520,1522.0,2.0,2.0,0.0,0.0,1500-1559,12.0,1534.0,1733.0,7.0,1748,1740.0,-8.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,N,148.0,138.0,119.0,1.0,936.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2869,,,,,G4,20368,G4,242NV,2869,14761,1476107,34761,SFB,14512,1451202,34512,RFD,1520,1600.0,40.0,40.0,1.0,2.0,1500-1559,16.0,1616.0,1746.0,4.0,1709,1750.0,41.0,41.0,1.0,2.0,1700-1759,0.0,,0.0,N,169.0,170.0,150.0,1.0,1025.0,5,40.0,0.0,1.0,0.0,0.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,2870,,,,,G4,20368,G4,222NV,2870,14761,1476107,34761,SFB,14696,1469608,34696,SBN,1200,1155.0,-5.0,0.0,0.0,-1.0,1200-1259,18.0,1213.0,1427.0,8.0,1430,1435.0,5.0,5.0,0.0,0.0,1400-1459,0.0,,0.0,N,150.0,160.0,134.0,1.0,936.0,4,,,,,,,,
