NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11027,L,2,2,2020,2
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11027,L,2,2,2020,3
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20366,EV,ExpressJet Airlines LLC d/b/a aha!,EV,ExpressJet Airlines LLC,16085,L,2,2,2020,2
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,11030,L,2,2,2020,2
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,11030,L,2,2,2020,3
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81002,I,1,1,2020,1
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81002,I,1,1,2020,2
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81002,I,1,1,2020,3
10.46,-17.54,,,,,,,,78.98,,,,,,78.98,28.67,19.45,,,,,22.73,23.14,2.54,96.53,-0.81,,,,,28.81,28.00,10.46,,,,,,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,16770,I,1,1,2020,2
51.21,66.63,8291.83,0.00,,0.00,0.00,,0.00,0.00,,0.00,2.00,,0.35,8294.18,2818.01,1779.25,370.57,1910.06,2.20,1217.36,0.00,129.72,0.38,8227.55,0.00,0.00,-0.17,0.00,0.00,-0.48,-0.65,65.98,14.77,51.21,0.00,0.00,0.00,,0.00,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2020,1
60.53,1094.75,0.00,0.00,185194.01,185194.01,0.00,18111.64,0.00,18111.64,144351.40,0.00,144351.40,0.00,0.00,347657.05,294398.45,678.28,0.00,31561.49,8349.34,2611.96,,208.39,8754.40,346562.30,-354.76,0.00,-782.83,0.00,0.00,107.26,-1030.33,64.42,3.89,60.53,0.00,0.00,0.00,60.53,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16758,P,3,3,2020,4
61.34,19.40,-0.08,0.00,,0.00,0.00,,0.00,0.00,,0.00,40.20,0.00,0.00,40.12,0.00,0.00,0.00,0.00,20.72,-0.01,0.00,0.00,0.00,20.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.40,-41.94,61.34,0.00,0.00,0.00,,0.00,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2020,2
73.01,951.76,0.00,0.00,186450.80,186450.80,0.00,11776.75,0.00,11776.75,128638.86,0.00,128638.86,0.00,0.00,326866.41,278413.93,581.33,0.00,28720.99,7530.53,2518.13,,164.04,7985.68,325914.64,-349.24,0.00,-741.97,0.00,0.00,212.45,-878.76,73.01,0.00,73.01,0.00,0.00,0.00,73.01,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16758,P,3,3,2020,3
94.98,131.98,0.00,0.00,9801.82,9801.82,0.00,308.20,0.00,308.20,5492.85,0.00,5492.85,0.00,0.00,15602.86,13439.44,24.11,0.00,1199.91,364.92,151.41,,7.89,283.19,15470.88,-16.21,0.00,-20.58,0.00,0.00,0.00,-36.80,95.19,0.20,94.98,0.00,0.00,0.00,94.98,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2020,2
103.51,83.57,0.00,0.00,18758.02,18758.02,0.00,988.24,0.00,988.24,31922.02,0.00,31922.02,0.00,0.00,51668.28,42437.99,146.60,0.00,5484.19,1635.94,519.77,,34.03,1326.21,51584.71,1.12,0.00,18.81,0.00,0.00,0.00,19.93,103.51,0.00,103.51,0.00,0.00,0.00,103.51,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2020,1
